# filename                                	chi2	rotation
# Best matches (according to MCMC):
AGNT8/HH205S0A90B0G0initgrid.kappa.fits 	  1.8920	359.28
FBconst/HH1S21A0B90G0initgrid.kappa.fits	  1.9320	  0.87
AGNT8/HH110S0A0B90G0initgrid.kappa.fits 	  1.9338	359.23
AGNT8/HH35S1A0B90G0initgrid.kappa.fits  	  2.0337	  0.83
FBconst/HH19S1A0B90G0initgrid.kappa.fits	  2.0606	359.22
FBconst/HH56S0A0B0G90initgrid.kappa.fits	  2.0659	359.14
FBconst/HH3S10A90B0G0initgrid.kappa.fits	  2.0692	  0.79
FBconst/HH33S0A0B0G90initgrid.kappa.fits	  2.0866	  0.75
FBconst/HH321S0A0B0G90initgrid.kappa.fits	  2.1014	359.18
AGNT8/HH41S0A90B0G0initgrid.kappa.fits  	  2.1241	  0.81
AGNT8/HH63S0A0B0G90initgrid.kappa.fits  	  2.1564	  0.71
AGNT8/HH1S2A0B90G0initgrid.kappa.fits   	  2.1736	  0.73
AGNT8/HH3S2A0B90G0initgrid.kappa.fits   	  2.1962	359.13
AGNT8/HH5S0A0B90G0initgrid.kappa.fits   	  2.2283	  0.87
AGNT8/HH18S1A0B90G0initgrid.kappa.fits  	  2.2418	  0.75
AGNT8/HH45S1A0B0G90initgrid.kappa.fits  	  2.2531	359.24
AGNT8/HH40S1A0B0G90initgrid.kappa.fits  	  2.2695	359.05
FBconst/HH3S1A0B90G0initgrid.kappa.fits 	  2.2877	  0.87
AGNT8/HH16S0A0B0G90initgrid.kappa.fits  	  2.2925	  0.83
AGNT8/HH47S1A90B0G0initgrid.kappa.fits  	  2.3077	359.07
AGNT8/HH1S22A0B90G0initgrid.kappa.fits  	  2.3714	  0.90
FBconst/HH22S0A0B90G0initgrid.kappa.fits	  2.3883	359.16
FBconst/HH100S0A0B90G0initgrid.kappa.fits	  2.4413	359.15
FBconst/HH51S0A90B0G0initgrid.kappa.fits	  2.4695	  0.79
FBconst/HH1094S0A0B90G0initgrid.kappa.fits	  2.4714	  0.88
FBconst/HH32S0A90B0G0initgrid.kappa.fits	  2.4991	  0.83
AGNT8/HH1S19A0B90G0initgrid.kappa.fits  	  2.5011	358.99
AGNT8/HH40S0A0B90G0initgrid.kappa.fits  	  2.5055	  0.95
AGNT8/HH56S0A0B90G0initgrid.kappa.fits  	  2.5175	359.14
FBconst/HH10S0A90B0G0initgrid.kappa.fits	  2.5415	359.08
FBconst/HH38S1A0B0G90initgrid.kappa.fits	  2.5639	  0.85
FBconst/HH215S0A0B0G90initgrid.kappa.fits	  2.5788	  0.91
FBconst/HH195S0A0B0G90initgrid.kappa.fits	  2.5804	359.21
FBconst/HH40S2A90B0G0initgrid.kappa.fits	  2.5821	  0.84
FBconst/HH19S1A90B0G0initgrid.kappa.fits	  2.6437	359.13
AGNT8/HH90S0A90B0G0initgrid.kappa.fits  	  2.6737	  0.85
FBconst/HH172S0A90B0G0initgrid.kappa.fits	  2.6845	359.25
FBconst/HH297S0A90B0G0initgrid.kappa.fits	  2.6963	  1.07
AGNT8/HH10S1A90B0G0initgrid.kappa.fits  	  2.6980	358.97
FBconst/HH38S1A0B90G0initgrid.kappa.fits	  2.7096	359.17
FBconst/HH10S1A0B0G90initgrid.kappa.fits	  2.7236	  0.87
FBconst/HH51S1A0B0G90initgrid.kappa.fits	  2.7416	  0.89
AGNT8/HH48S0A0B0G90initgrid.kappa.fits  	  2.7693	  1.07
